village_id,demand_level_idn,DemandFamily,NonFarmEnt,LivelihoodShift,R906A
3402050003,Rendah,Low demand,0.1848057856592755,0,1
3402050002,Rendah,Low demand,-0.8007650011050873,0,1
3402050001,Rendah,Low demand,0.8036335047737229,0,1
3402070001,Tinggi,High demand,2.5894240807947413,1,3
3402070002,Tinggi,High demand,-2.15475058325989,1,3
3402070005,Tinggi,High demand,1.9264744015430744,1,3
3402070004,Tinggi,High demand,2.809427640069404,1,3
3402070003,Tinggi,High demand,7.16052139749775,1,3
3402130004,Tinggi,High demand,6.987858821185586,1,3
3402130001,Tinggi,High demand,8.622817460155579,1,2
3402130006,Tinggi,High demand,9.638746539139207,0,1
3402130003,Tinggi,High demand,-2.4982267055565366,1,3
3402130008,Tinggi,High demand,16.610474925986694,1,3
3402130007,Tinggi,High demand,10.606097262365608,1,3
3402130002,Tinggi,High demand,-3.836409994793621,1,3
3402130005,Tinggi,High demand,0.9170187035588544,0,1
3402100004,Rendah,Low demand,1.7259638212606494,1,2
3402100006,Rendah,Low demand,1.0470305196600145,0,1
3402100001,Rendah,Low demand,3.0848549676523804,0,1
3402100002,Rendah,Low demand,-0.1916439752059093,1,2
3402100005,Rendah,Low demand,0.4525323600655588,0,1
3402100003,Rendah,Low demand,0.6080821622284005,0,1
3402090002,Rendah,Low demand,-1.107377794045424,1,2
3402090008,Rendah,Low demand,7.339186256066459,1,2
3402090006,Rendah,Low demand,0.161568329405621,1,3
3402090004,Rendah,Low demand,-4.7449953388445,1,3
3402090003,Rendah,Low demand,-5.88048568522411,1,3
3402090001,Rendah,Low demand,1.7886626964278465,0,1
3402090005,Rendah,Low demand,-4.7859479143462025,0,1
3402090007,Tinggi,High demand,0.4398665515996726,1,3
3402080003,Tinggi,High demand,3.784447013701982,0,1
3402080001,Rendah,Low demand,4.309767048018093,0,1
3402080004,Tinggi,High demand,3.796435704875174,0,1
3402080002,Rendah,Low demand,1.495680798610422,0,1
3402150003,Tinggi,High demand,7.792917735325724,1,3
3402150002,Tinggi,High demand,8.483270179124489,1,3
3402150004,Tinggi,High demand,13.653590232295947,1,3
3402150001,Tinggi,High demand,7.732779280272161,1,2
3402030002,Rendah,Low demand,5.443714317273778,1,3
3402030001,Rendah,Low demand,-6.97615474382996,0,1
3402030005,Rendah,Low demand,-3.1069651577387267,0,1
3402030004,Rendah,Low demand,-4.417255420088192,0,1
3402030003,Rendah,Low demand,0.2446254112795411,0,1
3402160002,Rendah,Low demand,0.7780401375028352,1,2
3402160001,Rendah,Low demand,-0.6430286516850834,1,2
3402160003,Tinggi,High demand,-0.3715647657027927,1,2
3402060004,Rendah,Low demand,0.9288225841021024,0,1
3402060002,Rendah,Low demand,-4.854144687906198,0,1
3402060001,Rendah,Low demand,-2.3926451005973157,0,1
3402060003,Rendah,Low demand,1.4385188278651857,0,1
3402120003,Rendah,Low demand,1.0829862694390964,0,1
3402120002,Tinggi,High demand,3.53051982713852,0,1
3402120001,Tinggi,High demand,8.437087695669666,0,1
3402110001,Tinggi,High demand,5.819947910857745,1,3
3402110005,Rendah,Low demand,-1.279351675351661,0,1
3402110002,Tinggi,High demand,10.859974847111962,1,3
3402110003,Tinggi,High demand,-2.3779340439436703,1,3
3402110004,Rendah,Low demand,-0.3887978139292021,1,3
3402040003,Rendah,Low demand,-3.147449029638599,0,1
3402040002,Rendah,Low demand,-3.470651357553467,0,1
3402040001,Rendah,Low demand,-5.855269340403529,0,1
3402020004,Rendah,Low demand,-1.298313735025158,0,1
3402020003,Rendah,Low demand,0.6919587983517578,0,1
3402020002,Rendah,Low demand,-5.445237284207326,0,1
